ma_san_pham,ten_san_pham,duong_dan_tinh,ma_ncc,ma_diem_den,loai_san_pham,gia_co_ban,don_vi_tinh,so_ngay,suc_chua_toi_da,chinh_sach_huy,diem_danh_gia_tb,so_luot_danh_gia,trang_thai,ngay_tao
SP0106,Lưu trú Khu bảo tồn Phú Cường – Lâm Đồng,luu-tru-khu-bao-ton-phu-cuong-lam-dong,NCC012,DD052,Lưu trú,980000,phòng/đêm,1,2,Miễn phí trước 3 ngày,5.0,1,dang_ban,2025-05-18
SP0107,Vé tham quan Thung lũng Thanh Bình – Quảng Nam,ve-tham-quan-thung-lung-thanh-binh-quang-nam,NCC001,DD044,Vé tham quan,250000,khách,1,100,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2025-07-18
SP0108,Vận chuyển Rừng nguyên sinh Long Hải – Cao Bằng,van-chuyen-rung-nguyen-sinh-long-hai-cao-bang,NCC021,DD014,Vận chuyển,480000,khách,1,29,Miễn phí trước 7 ngày,5.0,1,dang_ban,2025-02-03
SP0109,Lưu trú Đảo Thanh Bình – Lạng Sơn,luu-tru-dao-thanh-binh-lang-son,NCC003,DD017,Lưu trú,2200000,phòng/đêm,1,2,Miễn phí trước 7 ngày,3.5,2,dang_ban,2025-02-06
SP0110,Vé tham quan Địa đạo Đại Lộc – Ninh Bình,ve-tham-quan-dia-dao-dai-loc-ninh-binh,NCC007,DD024,Vé tham quan,90000,khách,1,400,Miễn phí trước 3 ngày,0.0,0,dang_ban,2023-07-31
SP0111,Dịch vụ trải nghiệm Khu bảo tồn Mỹ Cảnh – Huế,dich-vu-trai-nghiem-khu-bao-ton-my-canh-hue,NCC008,DD038,Dịch vụ trải nghiệm,350000,khách,1,8,Miễn phí trước 7 ngày,1.0,1,dang_ban,2025-04-06
SP0112,Vận chuyển Đảo Thanh Bình – Lạng Sơn,van-chuyen-dao-thanh-binh-lang-son,NCC008,DD017,Vận chuyển,750000,khách,1,16,Miễn phí trước 7 ngày,0.0,0,dang_ban,2023-08-24
SP0113,Vận chuyển Bãi biển Ngọc Trai – Sơn La,van-chuyen-bai-bien-ngoc-trai-son-la,NCC013,DD004,Vận chuyển,260000,khách,1,29,Miễn phí trước 3 ngày,0.0,0,dang_ban,2023-10-17
SP0114,Vận chuyển Đồi chè Hòa Xuân – Huế,van-chuyen-doi-che-hoa-xuan-hue,NCC002,DD037,Vận chuyển,260000,khách,1,45,Miễn phí trước 3 ngày,4.0,1,dang_ban,2025-02-04
SP0115,Vận chuyển Làng gốm Tây Hồ – Lào Cai,van-chuyen-lang-gom-tay-ho-lao-cai,NCC023,DD001,Vận chuyển,120000,khách,1,45,Miễn phí trước 3 ngày,0.0,0,dang_ban,2025-01-12
SP0116,Lưu trú Đền An Khê – Quảng Bình,luu-tru-den-an-khe-quang-binh,NCC022,DD036,Lưu trú,2200000,phòng/đêm,1,6,Miễn phí trước 3 ngày,0.0,0,dang_ban,2023-12-27
SP0117,Vận chuyển Địa đạo Đại Lộc – Cà Mau,van-chuyen-dia-dao-dai-loc-ca-mau,NCC004,DD073,Vận chuyển,120000,khách,1,29,Phí 30% trong 48 giờ,5.0,1,dang_ban,2024-05-27
SP0118,Dịch vụ trải nghiệm Khu bảo tồn Mỹ Cảnh – Huế,dich-vu-trai-nghiem-khu-bao-ton-my-canh-hue,NCC010,DD038,Dịch vụ trải nghiệm,180000,khách,1,8,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2024-10-19
SP0119,Vận chuyển Thành cổ Thiên Hương – Nam Định,van-chuyen-thanh-co-thien-huong-nam-dinh,NCC017,DD028,Vận chuyển,260000,khách,1,16,Miễn phí trước 3 ngày,0.0,0,ngung_ban,2024-05-01
SP0120,Vé tham quan Chùa Hương Giang – Tuyên Quang,ve-tham-quan-chua-huong-giang-tuyen-quang,NCC005,DD019,Vé tham quan,50000,khách,1,100,Miễn phí trước 3 ngày,0.0,0,dang_ban,2025-04-29
SP0121,Tour trọn gói Thác Ngọc Trai – TP. Hồ Chí Minh,tour-tron-goi-thac-ngoc-trai-tp-ho-chi-minh,NCC014,DD059,Tour trọn gói,3200000,khách,5,16,Phí 30% trong 48 giờ,4.0,1,dang_ban,2024-10-20
SP0122,Dịch vụ trải nghiệm Khu tưởng niệm Ban Mai – Nghệ An,dich-vu-trai-nghiem-khu-tuong-niem-ban-mai-nghe-an,NCC020,DD034,Dịch vụ trải nghiệm,850000,khách,1,10,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2024-06-26
SP0123,Tour trọn gói Đền Thiên Hương – Điện Biên,tour-tron-goi-den-thien-huong-dien-bien,NCC006,DD005,Tour trọn gói,1890000,khách,3,12,Không hoàn sau khi xác nhận,4.0,3,dang_ban,2024-06-30
SP0124,Vé tham quan Đền Ban Mai – Hòa Bình,ve-tham-quan-den-ban-mai-hoa-binh,NCC002,DD007,Vé tham quan,50000,khách,1,400,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2023-07-24
SP0125,Dịch vụ trải nghiệm Đồi chè Thiên Hương – Lào Cai,dich-vu-trai-nghiem-doi-che-thien-huong-lao-cai,NCC014,DD002,Dịch vụ trải nghiệm,850000,khách,1,15,Phí 30% trong 48 giờ,5.0,1,dang_ban,2023-09-07
SP0126,Tour trọn gói Đảo Thanh Bình – Lạng Sơn,tour-tron-goi-dao-thanh-binh-lang-son,NCC021,DD017,Tour trọn gói,6500000,khách,3,25,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2023-10-12
SP0127,Vé tham quan Đồi chè Ban Mai – Quảng Bình,ve-tham-quan-doi-che-ban-mai-quang-binh,NCC002,DD035,Vé tham quan,150000,khách,1,200,Miễn phí trước 3 ngày,0.0,0,dang_ban,2025-01-13
SP0128,Dịch vụ trải nghiệm Khu di sản Mỹ Cảnh – Hà Nội,dich-vu-trai-nghiem-khu-di-san-my-canh-ha-noi,NCC003,DD022,Dịch vụ trải nghiệm,520000,khách,1,8,Miễn phí trước 7 ngày,3.5,2,dang_ban,2025-10-13
SP0129,Vé tham quan Vịnh Ngọc Trai – Lạng Sơn,ve-tham-quan-vinh-ngoc-trai-lang-son,NCC015,DD018,Vé tham quan,50000,khách,1,100,Miễn phí trước 7 ngày,0.0,0,dang_ban,2023-07-30
SP0130,Tour trọn gói Thác Đại Lộc – Hà Giang,tour-tron-goi-thac-dai-loc-ha-giang,NCC004,DD011,Tour trọn gói,6500000,khách,3,30,Miễn phí trước 3 ngày,0.0,0,dang_ban,2025-11-30
SP0131,Dịch vụ trải nghiệm Đồi chè Phú Cường – Quảng Nam,dich-vu-trai-nghiem-doi-che-phu-cuong-quang-nam,NCC016,DD043,Dịch vụ trải nghiệm,850000,khách,1,10,Miễn phí trước 7 ngày,5.0,1,dang_ban,2025-10-05
SP0132,Vận chuyển Hang động Hòa Xuân – Tây Ninh,van-chuyen-hang-dong-hoa-xuan-tay-ninh,NCC021,DD066,Vận chuyển,260000,khách,1,29,Miễn phí trước 7 ngày,0.0,0,dang_ban,2024-12-28
SP0133,Vận chuyển Làng gốm Tây Hồ – Lào Cai,van-chuyen-lang-gom-tay-ho-lao-cai,NCC021,DD001,Vận chuyển,480000,khách,1,45,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2023-09-04
SP0134,Vận chuyển Bãi biển Hương Giang – Đắk Lắk,van-chuyen-bai-bien-huong-giang-dak-lak,NCC021,DD053,Vận chuyển,750000,khách,1,29,Không hoàn sau khi xác nhận,0.0,0,dang_ban,2025-05-19
SP0135,Dịch vụ trải nghiệm Chợ đêm Ngọc Trai – Nghệ An,dich-vu-trai-nghiem-cho-dem-ngoc-trai-nghe-an,NCC001,DD033,Dịch vụ trải nghiệm,520000,khách,1,20,Phí 30% trong 48 giờ,0.0,0,ngung_ban,2025-03-25
SP0136,Lưu trú Đảo Hương Giang – Hòa Bình,luu-tru-dao-huong-giang-hoa-binh,NCC020,DD008,Lưu trú,980000,phòng/đêm,1,6,Không hoàn sau khi xác nhận,3.0,1,dang_ban,2023-12-18
SP0137,Dịch vụ trải nghiệm Đảo Thanh Bình – Lạng Sơn,dich-vu-trai-nghiem-dao-thanh-binh-lang-son,NCC019,DD017,Dịch vụ trải nghiệm,180000,khách,1,10,Miễn phí trước 3 ngày,5.0,1,dang_ban,2025-01-29
SP0138,Vé tham quan Vịnh Ngọc Trai – Lạng Sơn,ve-tham-quan-vinh-ngoc-trai-lang-son,NCC013,DD018,Vé tham quan,50000,khách,1,200,Miễn phí trước 3 ngày,0.0,0,dang_ban,2023-11-24
SP0139,Tour trọn gói Bán đảo Hương Giang – Bình Định,tour-tron-goi-ban-dao-huong-giang-binh-dinh,NCC008,DD047,Tour trọn gói,6500000,khách,3,25,Phí 30% trong 48 giờ,0.0,0,ngung_ban,2023-10-10
SP0140,Tour trọn gói Thành cổ Phú Cường – Quảng Ninh,tour-tron-goi-thanh-co-phu-cuong-quang-ninh,NCC004,DD015,Tour trọn gói,6500000,khách,4,25,Phí 30% trong 48 giờ,5.0,1,dang_ban,2025-08-09
